Words,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Charged
amber,0,0,0,0,0,0,0,0,0,0,0
ambient,0,0,0,0,0,0,0,0,0,0,0
ambiguity,0,0,0,0,0,0,0,0,0,0,0
ambiguous,0,0,0,0,0,1,0,0,0,0,1
ambit,0,0,0,0,0,0,0,0,0,0,0
ambition,0,1,0,0,1,0,1,0,0,1,1
ambitious,0,0,0,0,0,0,0,0,0,0,0
ambulance,0,0,0,1,0,0,0,0,0,1,1
ambush,1,0,0,1,0,1,0,0,1,0,1
ameliorate,0,0,0,0,0,0,1,0,0,0,1
amen,0,0,0,0,1,0,1,0,0,1,1
amenable,0,0,0,0,0,0,1,0,0,0,1
amend,0,0,0,0,0,0,1,0,0,0,1
amendment,0,0,0,0,0,0,0,0,0,0,0
amends,0,0,0,0,0,0,1,0,0,0,1
amenity,0,0,0,0,0,0,1,0,0,0,1
amethyst,0,0,0,0,0,0,0,0,0,0,0
amiable,0,0,0,0,0,0,1,0,0,0,1
amicable,0,0,0,0,1,0,1,0,0,0,1
amid,0,0,0,0,0,0,0,0,0,0,0
amidst,0,0,0,0,0,0,0,0,0,0,0
ammonia,0,0,1,0,0,0,0,0,0,0,1
ammunition,0,0,0,0,0,0,0,0,0,0,0
amnesia,0,0,0,0,0,1,0,0,0,0,1
amnesty,0,0,0,0,1,0,1,0,0,0,1
amorphous,0,0,0,0,0,0,0,0,0,0,0
amortization,0,0,0,0,0,0,0,0,0,1,1
amount,0,0,0,0,0,0,0,0,0,0,0
amour,0,1,0,0,1,0,1,0,0,1,1
ampersand,0,0,0,0,0,0,0,0,0,0,0
amphetamines,0,0,1,0,0,1,0,0,0,0,1
amphibian,0,0,0,0,0,0,0,0,0,0,0
amphibious,0,0,0,0,0,0,0,0,0,0,0
amphitheater,0,0,0,0,0,0,0,0,0,0,0
amplification,0,0,0,0,0,0,0,0,0,0,0
amplify,0,0,0,0,0,0,0,0,0,0,0
amplitude,0,0,0,0,0,0,0,0,0,0,0
amply,0,0,0,0,0,0,0,0,0,0,0
amputation,0,0,0,0,0,0,0,0,0,0,0
amulet,0,0,0,0,0,0,0,0,0,0,0
amuse,0,0,0,0,1,0,1,0,0,0,1
amused,0,0,0,0,1,0,1,0,0,0,1
amusement,0,0,0,0,1,0,1,0,0,0,1
amusing,0,0,0,0,1,0,1,0,0,0,1
ana,0,0,0,0,0,0,0,0,0,0,0
anaconda,0,0,1,1,0,1,0,0,0,0,1
anaesthesia,0,0,0,0,0,0,0,0,0,0,0
anaesthetic,0,0,0,0,0,0,0,0,0,0,0
anal,0,0,0,0,0,1,0,0,0,0,1
analgesic,0,0,0,0,0,0,0,0,0,0,0
analogous,0,0,0,0,0,0,0,0,0,0,0
analogue,0,0,0,0,0,0,0,0,0,0,0
analogy,0,0,0,0,0,0,0,0,0,0,0
analysis,0,0,0,0,0,0,0,0,0,0,0
analyst,0,1,0,0,0,0,1,0,0,1,1
analytic,0,0,0,0,0,0,0,0,0,0,0
analyze,0,0,0,0,0,0,0,0,0,0,0
analyzer,0,0,0,0,0,0,0,0,0,0,0
anarchism,1,0,0,1,0,1,0,0,0,0,1
anarchist,1,0,0,1,0,1,0,0,0,0,1
anarchy,1,0,0,1,0,1,0,0,0,0,1
anastomosis,0,0,0,0,0,0,0,0,0,0,0
anathema,1,0,1,1,0,1,0,1,0,0,1
anatomic,0,0,0,0,0,0,0,0,0,0,0
anatomy,0,0,0,0,0,0,0,0,0,0,0
ancestor,0,0,0,0,0,0,0,0,0,0,0
ancestral,0,0,0,0,0,0,0,0,0,1,1
ancestry,0,0,0,0,0,0,0,0,0,0,0
anchor,0,0,0,0,0,0,1,0,0,0,1
anchorage,0,0,0,0,0,0,1,1,0,0,1
ancient,0,0,0,0,0,1,0,0,0,0,1
ancillary,0,0,0,0,0,0,0,0,0,0,0
androgen,0,0,0,0,0,0,0,0,0,0,0
anemone,0,0,0,0,0,0,0,0,0,0,0
anew,0,0,0,0,0,0,0,0,0,0,0
angel,0,1,0,0,1,0,1,0,1,1,1
angelic,0,0,0,0,1,0,1,0,0,1,1
anger,1,0,0,0,0,1,0,0,0,0,1
angina,0,0,0,1,0,1,0,0,0,0,1
angiography,0,0,0,0,0,0,0,0,0,0,0
angle,0,0,0,0,0,0,0,0,0,0,0
angling,0,1,0,0,0,1,0,0,0,0,1
angry,1,0,1,0,0,1,0,0,0,0,1
anguish,1,0,0,1,0,1,0,1,0,0,1
